2032c.dat,0.002330
ah82150f.dat,0.003530
ah88k136.dat,0.003530
ames03.dat,0.003570
arad13.dat,0.003520
atr72sm.dat,0.003520
august160.dat,0.003520
b737b.dat,0.003360
c141d.dat,0.003650
c141e.dat,0.003400
c5c.dat,0.003680
clarym18.dat,0.003600
dormoy.dat,0.003600
du-80-176-v1.dat,0.003640
e1214.dat,0.003410
e331.dat,0.003420
e337.dat,0.003450
e343.dat,0.003370
e360.dat,0.003590
e361.dat,0.003600
e472.dat,0.003570
e478.dat,0.003570
e479.dat,0.003470
e584.dat,0.003420
e625.dat,0.003680
e635.dat,0.003490
e858.dat,0.003690
e874.dat,0.003390
fauvel.dat,0.003400
fx08s176.dat,0.003510
fx63143.dat,0.003610
fx63158.dat,0.003450
fx78k161.dat,0.003390
fx75193.dat,0.003500
giiib.dat,0.003560
giiij.dat,0.003390
glennmartin2.dat,0.003520
goe329.dat,0.003660
goe421.dat,0.003350
goe441.dat,0.003390
goe598.dat,0.003620
goe601.dat,0.003650
goe617.dat,0.003420
goe632.dat,0.003410
goe681.dat,0.003410
hq109.dat,0.003580
hq1585.dat,0.003460
ht23.dat,0.003440
ist-mt1-24.dat,0.003540
ls417mod.dat,0.003540
ls421mod.dat,0.003400
m685.dat,0.003570
m8.dat,0.003520
marske3.dat,0.003620
mh23.dat,0.003380
mh33.dat,0.003670
mh91.dat,0.003550
mh94.dat,0.003630
mh95.dat,0.003640
n1h15.dat,0.003530
n2h15.dat,0.003580
n5h15.dat,0.003600
n63215b.dat,0.003620
n64212mb.dat,0.003430
oa212.dat,0.003440
oaf128.dat,0.003660
rhodesg36.dat,0.003560
s1046.dat,0.003440
sp4621hp.dat,0.003410
tsagi12.dat,0.003430
ua2-180.dat,0.003500
ua2-180sm.dat,0.003640
vr11x.dat,0.003600
