airfoil_name,abs_diff_efficiencies
ah82150f.dat,48.5547
ah88k136.dat,11.538499999999999
ames03.dat,12.179400000000001
arad13.dat,16.915000000000006
atr72sm.dat,1.289999999999992
august160.dat,28.309600000000003
b737b.dat,4.513199999999998
c141d.dat,2.4291999999999945
c141e.dat,3.6450999999999993
c5c.dat,0.5608999999999895
clarym18.dat,14.017200000000003
dormoy.dat,1.4191000000000003
du-80-176-v1.dat,42.036
e1214.dat,1.2604999999999933
e331.dat,20.222100000000005
e337.dat,12.826700000000002
e343.dat,0.7860000000000014
e360.dat,11.985799999999998
e361.dat,8.362199999999994
e472.dat,16.0942
e478.dat,24.3574
e479.dat,37.254999999999995
e584.dat,49.04560000000001
e625.dat,15.424499999999995
e635.dat,5.302999999999997
e858.dat,25.2348
e874.dat,0.049399999999998556
fauvel.dat,24.701399999999992
fx08s176.dat,55.7671
fx63143.dat,10.187200000000004
fx63158.dat,38.587500000000006
fx75193.dat,49.3156
fx78k161.dat,2.2781999999999982
giiib.dat,13.755399999999995
giiij.dat,4.116
glennmartin2.dat,13.161899999999996
goe329.dat,319.6783
goe421.dat,24.917299999999997
goe441.dat,71.64
goe598.dat,1.3385999999999996
goe601.dat,14.385400000000004
goe617.dat,1.1206999999999994
goe632.dat,72.2769
goe681.dat,12.025199999999998
hq109.dat,2.6988000000000056
hq1585.dat,1.1252999999999957
ht23.dat,5.821799999999996
ist-mt1-24.dat,78.56609999999999
ls417mod.dat,31.79079999999999
ls421mod.dat,35.6999
m685.dat,0.5553000000000026
m8.dat,33.2995
marske3.dat,15.944899999999997
mh23.dat,0.7762000000000029
mh33.dat,2.882800000000003
mh91.dat,19.076399999999992
mh94.dat,1.0120000000000005
mh95.dat,4.199100000000001
n1h15.dat,110.41129999999998
n2h15.dat,40.8423
n5h15.dat,17.7151
n63215b.dat,0.49790000000000134
n64212mb.dat,0.8960999999999899
oa212.dat,11.477000000000004
oaf128.dat,2.2805000000000035
rhodesg36.dat,44.6178
s1046.dat,21.273899999999998
sp4621hp.dat,81.42320000000001
tsagi12.dat,4.567999999999998
ua2-180.dat,98.1881
ua2-180sm.dat,94.6895
vr11x.dat,8.41510000000001
